"Min,Max,Modal Price from Maharashtra,Sholapur[Jowar(Sorghum)],Barshi(Vairag) from 01-Jan-2010To24-Oct-2020 (Total-522) (Total-522)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sholapur,Barshi(Vairag),Jowar(Sorghum),Other,FAQ,2600,2600,2600,7-Oct-20
2,Sholapur,Barshi(Vairag),Jowar(Sorghum),Other,FAQ,2400,3400,3000,6-Oct-20
3,Sholapur,Barshi(Vairag),Jowar(Sorghum),Other,FAQ,2750,3700,3250,3-Oct-20
4,Sholapur,Barshi(Vairag),Jowar(Sorghum),Other,FAQ,2900,3800,3300,1-Oct-20
5,Sholapur,Barshi(Vairag),Jowar(Sorghum),Other,FAQ,2800,3900,3300,28-Sep-20
6,Sholapur,Barshi(Vairag),Jowar(Sorghum),Other,FAQ,2300,3400,3000,26-Sep-20
7,Sholapur,Barshi(Vairag),Jowar(Sorghum),Other,FAQ,2600,3611,3300,24-Sep-20
8,Sholapur,Barshi(Vairag),Jowar(Sorghum),Other,FAQ,2200,3200,2800,23-Sep-20
9,Sholapur,Barshi(Vairag),Jowar(Sorghum),Other,FAQ,2400,3000,2900,17-Sep-20
10,Sholapur,Barshi(Vairag),Jowar(Sorghum),Other,FAQ,1800,2400,2000,14-Sep-20
11,Sholapur,Barshi(Vairag),Jowar(Sorghum),Other,FAQ,2000,3200,2500,12-Sep-20
12,Sholapur,Barshi(Vairag),Jowar(Sorghum),Other,FAQ,1800,3400,2800,11-Sep-20
13,Sholapur,Barshi(Vairag),Jowar(Sorghum),Other,FAQ,2000,3250,2800,8-Sep-20
14,Sholapur,Barshi(Vairag),Jowar(Sorghum),Other,FAQ,2000,2600,2200,7-Sep-20
15,Sholapur,Barshi(Vairag),Jowar(Sorghum),Other,FAQ,2500,3250,2700,5-Sep-20
16,Sholapur,Barshi(Vairag),Jowar(Sorghum),Other,FAQ,2000,3200,2700,4-Sep-20
17,Sholapur,Barshi(Vairag),Jowar(Sorghum),Other,FAQ,1800,2900,2800,2-Sep-20
18,Sholapur,Barshi(Vairag),Jowar(Sorghum),Other,FAQ,1800,3600,3200,19-May-20
19,Sholapur,Barshi(Vairag),Jowar(Sorghum),Other,FAQ,1800,3600,3281,18-May-20
20,Sholapur,Barshi(Vairag),Jowar(Sorghum),Other,FAQ,2800,3600,3300,16-May-20
21,Sholapur,Barshi(Vairag),Jowar(Sorghum),Other,FAQ,2000,3450,3000,15-May-20
22,Sholapur,Barshi(Vairag),Jowar(Sorghum),Other,FAQ,2700,3600,3200,14-May-20
