"Min,Max,Modal Price from Maharashtra,Amarawati[Wheat],Nanggaon from 01-Jan-2010To25-Oct-2020 (Total-435) (Total-435)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Amarawati,Nanggaon,Wheat,Other,FAQ,1500,1550,1525,14-Oct-20
2,Amarawati,Nanggaon,Wheat,Other,FAQ,1450,1550,1500,13-Oct-20
3,Amarawati,Nanggaon,Wheat,Other,FAQ,1450,1550,1500,12-Oct-20
4,Amarawati,Nanggaon,Wheat,Other,FAQ,1500,1600,1550,10-Oct-20
5,Amarawati,Nanggaon,Wheat,Other,FAQ,1450,1550,1500,8-Oct-20
6,Amarawati,Nanggaon,Wheat,Other,FAQ,1350,1450,1400,7-Oct-20
7,Amarawati,Nanggaon,Wheat,Other,FAQ,1400,1500,1450,6-Oct-20
8,Amarawati,Nanggaon,Wheat,Other,FAQ,1500,1600,1550,5-Oct-20
9,Amarawati,Nanggaon,Wheat,Other,FAQ,1500,1600,1550,3-Oct-20
10,Amarawati,Nanggaon,Wheat,Other,FAQ,1400,1551,1475,1-Oct-20
11,Amarawati,Nanggaon,Wheat,Other,FAQ,1400,1521,1460,30-Sep-20
12,Amarawati,Nanggaon,Wheat,Other,FAQ,1400,1521,1460,28-Sep-20
13,Amarawati,Nanggaon,Wheat,Other,FAQ,1450,1521,1485,23-Sep-20
14,Amarawati,Nanggaon,Wheat,Other,FAQ,1449,1550,1499,22-Sep-20
15,Amarawati,Nanggaon,Wheat,Other,FAQ,1450,1550,1500,21-Sep-20
16,Amarawati,Nanggaon,Wheat,Other,FAQ,1450,1500,1475,19-Sep-20
17,Amarawati,Nanggaon,Wheat,Other,FAQ,1450,1550,1500,18-Sep-20
18,Amarawati,Nanggaon,Wheat,Other,FAQ,1370,1531,1450,10-Sep-20
19,Amarawati,Nanggaon,Wheat,Other,FAQ,1370,1531,1453,9-Sep-20
20,Amarawati,Nanggaon,Wheat,Other,FAQ,1370,1500,1435,8-Sep-20
21,Amarawati,Nanggaon,Wheat,Other,FAQ,1375,1541,1458,7-Sep-20
22,Amarawati,Nanggaon,Wheat,Other,FAQ,1350,1500,1425,5-Sep-20
23,Amarawati,Nanggaon,Wheat,Other,FAQ,1360,1491,1425,4-Sep-20
24,Amarawati,Nanggaon,Wheat,Other,FAQ,1375,1500,1437,3-Sep-20
25,Amarawati,Nanggaon,Wheat,Other,FAQ,1350,1500,1425,2-Sep-20
26,Amarawati,Nanggaon,Wheat,Other,FAQ,1450,1550,1500,28-Aug-20
27,Amarawati,Nanggaon,Wheat,Other,FAQ,1450,1550,1500,27-Aug-20
28,Amarawati,Nanggaon,Wheat,Other,FAQ,1450,1621,1535,24-Aug-20
29,Amarawati,Nanggaon,Wheat,Other,FAQ,1450,1631,1540,20-Aug-20
30,Amarawati,Nanggaon,Wheat,Other,FAQ,1450,1650,1550,17-Aug-20
31,Amarawati,Nanggaon,Wheat,Other,FAQ,1450,1660,1555,14-Aug-20
32,Amarawati,Nanggaon,Wheat,Other,FAQ,1480,1675,1577,12-Aug-20
33,Amarawati,Nanggaon,Wheat,Other,FAQ,1450,1675,1555,11-Aug-20
34,Amarawati,Nanggaon,Wheat,Other,FAQ,1450,1671,1560,10-Aug-20
35,Amarawati,Nanggaon,Wheat,Other,FAQ,1450,1670,1560,7-Aug-20
36,Amarawati,Nanggaon,Wheat,Other,FAQ,1450,1660,1555,6-Aug-20
37,Amarawati,Nanggaon,Wheat,Other,FAQ,1550,1760,1655,5-Aug-20
38,Amarawati,Nanggaon,Wheat,Other,FAQ,1650,1750,1700,4-Aug-20
39,Amarawati,Nanggaon,Wheat,Other,FAQ,1550,1671,1610,31-Jul-20
40,Amarawati,Nanggaon,Wheat,Other,FAQ,1650,1821,1735,30-Jul-20
41,Amarawati,Nanggaon,Wheat,Other,FAQ,1550,1700,1625,29-Jul-20
42,Amarawati,Nanggaon,Wheat,Other,FAQ,1450,1700,1575,28-Jul-20
43,Amarawati,Nanggaon,Wheat,Other,FAQ,1461,1681,1571,27-Jul-20
44,Amarawati,Nanggaon,Wheat,Other,FAQ,1550,1681,1571,24-Jul-20
45,Amarawati,Nanggaon,Wheat,Other,FAQ,1450,1691,1570,23-Jul-20
46,Amarawati,Nanggaon,Wheat,Other,FAQ,1450,1691,1570,22-Jul-20
47,Amarawati,Nanggaon,Wheat,Other,FAQ,1550,1725,1635,21-Jul-20
48,Amarawati,Nanggaon,Wheat,Other,FAQ,1521,1681,1601,20-Jul-20
49,Amarawati,Nanggaon,Wheat,Other,FAQ,1500,1800,1650,25-Jun-20
50,Amarawati,Nanggaon,Wheat,Other,FAQ,1600,1800,1700,24-Jun-20
51,Amarawati,Nanggaon,Wheat,Other,FAQ,1550,1700,1625,23-Jun-20
52,Amarawati,Nanggaon,Wheat,Other,FAQ,1550,1661,1605,22-Jun-20
53,Amarawati,Nanggaon,Wheat,Other,FAQ,1650,1900,1775,20-Jun-20
54,Amarawati,Nanggaon,Wheat,Other,FAQ,1550,1660,1605,19-Jun-20
55,Amarawati,Nanggaon,Wheat,Other,FAQ,1750,1901,1825,18-Jun-20
56,Amarawati,Nanggaon,Wheat,Other,FAQ,1500,1660,1580,17-Jun-20
57,Amarawati,Nanggaon,Wheat,Other,FAQ,1700,1800,1750,16-Jun-20
58,Amarawati,Nanggaon,Wheat,Other,FAQ,1650,1800,1725,14-Jun-20
59,Amarawati,Nanggaon,Wheat,Other,FAQ,1750,1881,1815,12-Jun-20
60,Amarawati,Nanggaon,Wheat,Other,FAQ,1650,1781,1715,11-Jun-20
61,Amarawati,Nanggaon,Wheat,Other,FAQ,1600,1900,1750,10-Jun-20
62,Amarawati,Nanggaon,Wheat,Other,FAQ,1700,1916,1808,9-Jun-20
63,Amarawati,Nanggaon,Wheat,Other,FAQ,1600,1700,1650,8-Jun-20
64,Amarawati,Nanggaon,Wheat,Other,FAQ,1600,1700,1650,4-Jun-20
65,Amarawati,Nanggaon,Wheat,Other,FAQ,1650,1800,1700,3-Jun-20
66,Amarawati,Nanggaon,Wheat,Other,FAQ,1700,1800,1750,2-Jun-20
67,Amarawati,Nanggaon,Wheat,Other,FAQ,1600,1700,1650,1-Jun-20
68,Amarawati,Nanggaon,Wheat,Other,FAQ,1705,1800,1752,30-May-20
69,Amarawati,Nanggaon,Wheat,Other,FAQ,1570,1750,1660,29-May-20
70,Amarawati,Nanggaon,Wheat,Other,FAQ,1750,1850,1800,28-May-20
71,Amarawati,Nanggaon,Wheat,Other,FAQ,1800,1925,1862,27-May-20
72,Amarawati,Nanggaon,Wheat,Other,FAQ,1600,1700,1650,26-May-20
73,Amarawati,Nanggaon,Wheat,Other,FAQ,1700,1821,1760,23-May-20
74,Amarawati,Nanggaon,Wheat,Other,FAQ,1500,1700,1600,22-May-20
75,Amarawati,Nanggaon,Wheat,Other,FAQ,1500,1650,1575,21-May-20
76,Amarawati,Nanggaon,Wheat,Other,FAQ,1650,1800,1725,18-May-20
77,Amarawati,Nanggaon,Wheat,Other,FAQ,1500,1650,1575,16-May-20
78,Amarawati,Nanggaon,Wheat,Other,FAQ,1500,1650,1575,15-May-20
79,Amarawati,Nanggaon,Wheat,Other,FAQ,1650,1800,1725,12-May-20
80,Amarawati,Nanggaon,Wheat,Other,FAQ,1600,1760,1675,8-May-20
81,Amarawati,Nanggaon,Wheat,Other,FAQ,1650,1781,1715,6-May-20
82,Amarawati,Nanggaon,Wheat,Other,FAQ,1500,1650,1575,5-May-20
83,Amarawati,Nanggaon,Wheat,Other,FAQ,1650,1830,1740,20-Mar-20
84,Amarawati,Nanggaon,Wheat,Other,FAQ,1550,1701,1625,19-Mar-20
85,Amarawati,Nanggaon,Wheat,Other,FAQ,1450,1680,1575,18-Mar-20
86,Amarawati,Nanggaon,Wheat,Other,FAQ,1550,1711,1630,17-Mar-20
87,Amarawati,Nanggaon,Wheat,Other,FAQ,1471,1750,1610,16-Mar-20
88,Amarawati,Nanggaon,Wheat,Other,FAQ,1471,1750,1561,14-Mar-20
89,Amarawati,Nanggaon,Wheat,Other,FAQ,1550,1700,1625,11-Mar-20
90,Amarawati,Nanggaon,Wheat,Other,FAQ,1571,1751,1661,7-Mar-20
91,Amarawati,Nanggaon,Wheat,Other,FAQ,1550,1771,1661,6-Mar-20
92,Amarawati,Nanggaon,Wheat,Other,FAQ,1650,1801,1725,5-Mar-20
93,Amarawati,Nanggaon,Wheat,Other,FAQ,1650,1800,1725,4-Mar-20
94,Amarawati,Nanggaon,Wheat,Other,FAQ,1625,1831,1728,3-Mar-20
95,Amarawati,Nanggaon,Wheat,Other,FAQ,1750,1900,1825,29-Feb-20
96,Amarawati,Nanggaon,Wheat,Other,FAQ,1641,1831,1736,28-Feb-20
97,Amarawati,Nanggaon,Wheat,Other,FAQ,1611,1881,1746,27-Feb-20
98,Amarawati,Nanggaon,Wheat,Other,FAQ,1620,1900,1760,26-Feb-20
99,Amarawati,Nanggaon,Wheat,Other,FAQ,1650,1871,1760,24-Feb-20
100,Amarawati,Nanggaon,Wheat,Other,FAQ,1661,1971,1816,20-Feb-20
101,Amarawati,Nanggaon,Wheat,Other,FAQ,1640,1870,1755,18-Feb-20
102,Amarawati,Nanggaon,Wheat,Other,FAQ,1650,1975,1812,15-Feb-20
103,Amarawati,Nanggaon,Wheat,Other,FAQ,1750,1941,1845,13-Feb-20
104,Amarawati,Nanggaon,Wheat,Other,FAQ,1650,1941,1795,12-Feb-20
105,Amarawati,Nanggaon,Wheat,Other,FAQ,1650,1851,1730,11-Feb-20
106,Amarawati,Nanggaon,Wheat,Other,FAQ,1720,2025,1872,8-Feb-20
107,Amarawati,Nanggaon,Wheat,Other,FAQ,1650,1850,1750,7-Feb-20
108,Amarawati,Nanggaon,Wheat,Other,FAQ,1750,2050,1900,6-Feb-20
109,Amarawati,Nanggaon,Wheat,Other,FAQ,1720,1941,1830,31-Jan-20
110,Amarawati,Nanggaon,Wheat,Other,FAQ,1650,1941,1795,28-Jan-20
111,Amarawati,Nanggaon,Wheat,Other,FAQ,1650,1941,1795,27-Jan-20
112,Amarawati,Nanggaon,Wheat,Other,FAQ,1750,1981,1870,25-Jan-20
113,Amarawati,Nanggaon,Wheat,Other,FAQ,1900,1975,1937,24-Jan-20
114,Amarawati,Nanggaon,Wheat,Other,FAQ,1750,2000,1875,22-Jan-20
115,Amarawati,Nanggaon,Wheat,Other,FAQ,1850,2020,1935,21-Jan-20
116,Amarawati,Nanggaon,Wheat,Other,FAQ,1900,2150,2025,18-Jan-20
117,Amarawati,Nanggaon,Wheat,Other,FAQ,1950,2225,2075,17-Jan-20
118,Amarawati,Nanggaon,Wheat,Other,FAQ,1950,2011,1980,16-Jan-20
119,Amarawati,Nanggaon,Wheat,Other,FAQ,1800,1950,1875,14-Jan-20
120,Amarawati,Nanggaon,Wheat,Other,FAQ,1750,1975,1862,13-Jan-20
121,Amarawati,Nanggaon,Wheat,Other,FAQ,1950,2000,1975,11-Jan-20
122,Amarawati,Nanggaon,Wheat,Other,FAQ,1750,1991,1870,8-Jan-20
123,Amarawati,Nanggaon,Wheat,Other,FAQ,1750,2000,1875,7-Jan-20
124,Amarawati,Nanggaon,Wheat,Other,FAQ,1750,1971,1860,6-Jan-20
125,Amarawati,Nanggaon,Wheat,Other,FAQ,1750,1950,1850,4-Jan-20
126,Amarawati,Nanggaon,Wheat,Other,FAQ,1900,2000,1950,1-Jan-20
